 frequency       vdb(2)          vp(2)          
 1.00000000e+00 -1.73706998e-07 -1.99993786e-04 
 1.02329299e+00 -1.81893557e-07 -2.04652239e-04 
 1.04712855e+00 -1.90465937e-07 -2.09419202e-04 
 1.07151931e+00 -1.99442319e-07 -2.14297202e-04 
 1.09647820e+00 -2.08841745e-07 -2.19288825e-04 
 1.12201845e+00 -2.18684155e-07 -2.24396717e-04 
 1.14815362e+00 -2.28990421e-07 -2.29623588e-04 
 1.17489755e+00 -2.39782407e-07 -2.34972209e-04 
 1.20226443e+00 -2.51083002e-07 -2.40445414e-04 
 1.23026877e+00 -2.62916179e-07 -2.46046107e-04 
 1.25892541e+00 -2.75307037e-07 -2.51777257e-04 
 1.28824955e+00 -2.88281856e-07 -2.57641902e-04 
 1.31825674e+00 -3.01868162e-07 -2.63643153e-04 
 1.34896288e+00 -3.16094770e-07 -2.69784191e-04 
 1.38038426e+00 -3.30991858e-07 -2.76068271e-04 
 1.41253754e+00 -3.46591021e-07 -2.82498727e-04 
 1.44543977e+00 -3.62925352e-07 -2.89078967e-04 
 1.47910839e+00 -3.80029497e-07 -2.95812481e-04 
 1.51356125e+00 -3.97939732e-07 -3.02702839e-04 
 1.54881662e+00 -4.16694055e-07 -3.09753693e-04 
 1.58489319e+00 -4.36332239e-07 -3.16968783e-04 
 1.62181010e+00 -4.56895942e-07 -3.24351934e-04 
 1.65958691e+00 -4.78428784e-07 -3.31907060e-04 
 1.69824365e+00 -5.00976436e-07 -3.39638168e-04 
 1.73780083e+00 -5.24586728e-07 -3.47549357e-04 
 1.77827941e+00 -5.49309737e-07 -3.55644821e-04 
 1.81970086e+00 -5.75197906e-07 -3.63928852e-04 
 1.86208714e+00 -6.02306146e-07 -3.72405843e-04 
 1.90546072e+00 -6.30691959e-07 -3.81080289e-04 
 1.94984460e+00 -6.60415553e-07 -3.89956788e-04 
 1.99526231e+00 -6.91539975e-07 -3.99040048e-04 
 2.04173794e+00 -7.24131248e-07 -4.08334884e-04 
 2.08929613e+00 -7.58258500e-07 -4.17846224e-04 
 2.13796209e+00 -7.93994120e-07 -4.27579112e-04 
 2.18776162e+00 -8.31413905e-07 -4.37538707e-04 
 2.23872114e+00 -8.70597231e-07 -4.47730292e-04 
 2.29086765e+00 -9.11627211e-07 -4.58159268e-04 
 2.34422882e+00 -9.54590873e-07 -4.68831167e-04 
 2.39883292e+00 -9.99579350e-07 -4.79751646e-04 
 2.45470892e+00 -1.04668807e-06 -4.90926496e-04 
 2.51188643e+00 -1.09601695e-06 -5.02361641e-04 
 2.57039578e+00 -1.14767063e-06 -5.14063145e-04 
 2.63026799e+00 -1.20175867e-06 -5.26037211e-04 
