 frequency       vdb(2)          vp(2)          
 1.00000000e+00 -4.33449074e-06 -9.99026131e-04 
 1.12201845e+00 -5.45679984e-06 -1.12092566e-03 
 1.25892541e+00 -6.86970287e-06 -1.25769914e-03 
 1.41253754e+00 -8.64844174e-06 -1.41116145e-03 
 1.58489319e+00 -1.08877403e-05 -1.58334892e-03 
 1.77827941e+00 -1.37068485e-05 -1.77654632e-03 
 1.99526231e+00 -1.72558928e-05 -1.99331721e-03 
 2.23872114e+00 -2.17238708e-05 -2.23653793e-03 
 2.51188643e+00 -2.73487152e-05 -2.50943575e-03 
 2.81838293e+00 -3.44299645e-05 -2.81563169e-03 
 3.16227766e+00 -4.33447128e-05 -3.15918856e-03 
 3.54813389e+00 -5.45676899e-05 -3.54466481e-03 
 3.98107171e+00 -6.86965397e-05 -3.97717502e-03 
 4.46683592e+00 -8.64836424e-05 -4.46245767e-03 
 5.01187234e+00 -1.08876174e-04 -5.00695126e-03 
 5.62341325e+00 -1.37066538e-04 -5.61787955e-03 
 6.30957344e+00 -1.72555843e-04 -6.30334736e-03 
 7.07945784e+00 -2.17233818e-04 -7.07244781e-03 
 7.94328235e+00 -2.73479403e-04 -7.93538271e-03 
 8.91250938e+00 -3.44287363e-04 -8.90359745e-03 
 1.00000000e+01 -4.33427662e-04 -9.98993230e-03 
 1.12201845e+01 -5.45646048e-04 -1.12087919e-02 
 1.25892541e+01 -6.86916503e-04 -1.25763349e-02 
 1.41253754e+01 -8.64758935e-04 -1.41106873e-02 
 1.58489319e+01 -1.08863894e-03 -1.58321795e-02 
 1.77827941e+01 -1.37047075e-03 -1.77636133e-02 
 1.99526231e+01 -1.72524998e-03 -1.99305591e-02 
 2.23872114e+01 -2.17184936e-03 -2.23616886e-02 
 2.51188643e+01 -2.73401938e-03 -2.50891446e-02 
 2.81838293e+01 -3.44164604e-03 -2.81489542e-02 
 3.16227766e+01 -4.33233132e-03 -3.15814868e-02 
 3.54813389e+01 -5.45337797e-03 -3.54319617e-02 
 3.98107171e+01 -6.86428074e-03 -3.97510092e-02 
 4.46683592e+01 -8.63985060e-03 -4.45952866e-02 
 5.01187234e+01 -1.08741289e-02 -5.00281521e-02 
 5.62341325e+01 -1.36852852e-02 -5.61203952e-02 
 6.30957344e+01 -1.72217359e-02 -6.29510217e-02 
 7.07945784e+01 -2.16697728e-02 -7.06080840e-02 
 7.94328235e+01 -2.72630494e-02 -7.91895444e-02 
 8.91250938e+01 -3.42943402e-02 -8.88041468e-02 
 1.00000000e+02 -4.31300547e-02 -9.95722618e-02 
 1.12201845e+02 -5.42280606e-02 -1.11626649e-01 
 1.25892541e+02 -6.81594173e-02 -1.25113057e-01 
 1.41253754e+02 -8.56346503e-02 -1.40190554e-01 
 1.58489319e+02 -1.07535150e-01 -1.57031425e-01 
 1.77827941e+02 -1.34950133e-01 -1.75820431e-01 
 1.99526231e+02 -1.69219287e-01 -1.96753156e-01 
 2.23872114e+02 -2.11980618e-01 -2.20033090e-01 
 2.51188643e+02 -2.65222098e-01 -2.45867032e-01 
 2.81838293e+02 -3.31334200e-01 -2.74458330e-01 
 3.16227766e+02 -4.13158428e-01 -3.05997472e-01 
 3.54813389e+02 -5.14024260e-01 -3.40649631e-01 
 3.98107171e+02 -6.37763908e-01 -3.78538970e-01 
 4.46683592e+02 -7.88691399e-01 -4.19729991e-01 
 5.01187234e+02 -9.71530800e-01 -4.64206900e-01 
 5.62341325e+02 -1.19127941e+00 -5.11852888e-01 
 6.30957344e+02 -1.45299731e+00 -5.62432310e-01 
 7.07945784e+02 -1.76152595e+00 -6.15579563e-01 
 7.94328235e+02 -2.12115506e+00 -6.70798646e-01 
 8.91250938e+02 -2.53527573e+00 -7.27476515e-01 
 1.00000000e+03 -3.00607194e+00 -7.84911158e-01 
 1.12201845e+03 -3.53430601e+00 -8.42352221e-01 
 1.25892541e+03 -4.11924076e+00 -8.99048933e-01 
 1.41253754e+03 -4.75871482e+00 -9.54298095e-01 
 1.58489319e+03 -5.44935517e+00 -1.00748489e+00 
 1.77827941e+03 -6.18688442e+00 -1.05811117e+00 
 1.99526231e+03 -6.96646757e+00 -1.10580911e+00 
 2.23872114e+03 -7.78304573e+00 -1.15034093e+00 
 2.51188643e+03 -8.63161857e+00 -1.19158793e+00 
 2.81838293e+03 -9.50745607e+00 -1.22953280e+00 
 3.16227766e+03 -1.04062365e+01 -1.26423884e+00 
 3.54813389e+03 -1.13241192e+01 -1.29582937e+00 
 3.98107171e+03 -1.22577662e+01 -1.32446902e+00 
 4.46683592e+03 -1.32043280e+01 -1.35034794e+00 
 5.01187234e+03 -1.41614070e+01 -1.37366937e+00 
 5.62341325e+03 -1.51270087e+01 -1.39464010e+00 
 6.30957344e+03 -1.60994896e+01 -1.41346373e+00 
 7.07945784e+03 -1.70775055e+01 -1.43033599e+00 
 7.94328235e+03 -1.80599633e+01 -1.44544185e+00 
 8.91250938e+03 -1.90459783e+01 -1.45895382e+00 
 1.00000000e+04 -2.00348374e+01 -1.47103119e+00 
